O*NET-SOC Code,Title,Description,Skills,Job Zone,Date,Domain Source
39-1013.00,First-Line Supervisors of Gambling Services Workers,"Directly supervise and coordinate activities of workers in assigned gambling areas. May circulate among tables, observe operations, and ensure that stations and games are covered for each shift. May verify and pay off jackpots. May reset slot machines after payoffs and make repairs or adjustments to slot machines or recommend removal of slot machines for repair. May plan and organize activities and services for guests in hotels/casinos.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",2,08/2022,Analyst
39-1022.00,First-Line Supervisors of Personal Service Workers,Supervise and coordinate activities of personal service workers.,"Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",3,08/2024,Analyst
39-2011.00,Animal Trainers,"Train animals for riding, harness, security, performance, or obedience, or for assisting persons with disabilities. Accustom animals to human voice and contact, and condition animals to respond to commands. Train animals according to prescribed standards for show or competition. May train animals to carry pack loads or work as part of pack team.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",2,07/2014,Analyst
39-2021.00,Animal Caretakers,"Feed, water, groom, bathe, exercise, or otherwise provide care to promote and maintain the well-being of pets and other animals that are not raised for consumption, such as dogs, cats, race horses, ornamental fish or birds, zoo animals, and mice. Work in settings such as kennels, animal shelters, zoos, circuses, and aquariums. May keep records of feedings, treatments, and animals received or discharged. May clean, disinfect, and repair cages, pens, or fish tanks.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",2,08/2019,Analyst
39-3011.00,Gambling Dealers,"Operate table games. Stand or sit behind table and operate games of chance by dispensing the appropriate number of cards or blocks to players, or operating other gambling equipment. Distribute winnings or collect players' money or chips. May compare the house's hand against players' hands.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",2,08/2019,Analyst
39-3012.00,Gambling and Sports Book Writers and Runners,"Post information enabling patrons to wager on various races and sporting events. Assist in the operation of games such as keno and bingo. May operate random number-generating equipment and announce the numbers for patrons. Receive, verify, and record patrons' wagers. Scan and process winning tickets presented by patrons and pay out winnings for those wagers.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",2,07/2014,Analyst
39-3021.00,Motion Picture Projectionists,Set up and operate motion picture projection and related sound reproduction equipment.,"Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",2,08/2020,Analyst
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers","Assist patrons at entertainment events by performing duties, such as collecting admission tickets and passes from patrons, assisting in finding seats, searching for lost articles, and helping patrons locate such facilities as restrooms and telephones.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",2,07/2015,Analyst
39-3091.00,Amusement and Recreation Attendants,"Perform a variety of attending duties at amusement or recreation facility. May schedule use of recreation facilities, maintain and provide equipment to participants of sporting events or recreational pursuits, or operate amusement concessions and rides.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",1,08/2020,Analyst
39-3092.00,Costume Attendants,"Select, fit, and take care of costumes for cast members, and aid entertainers. May assist with multiple costume changes during performances.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",2,07/2016,Analyst
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants","Provide personal items to patrons or customers in locker rooms, dressing rooms, or coatrooms.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",2,07/2011,Analyst
39-4011.00,Embalmers,Prepare bodies for interment in conformity with legal requirements.,"Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",3,08/2021,Analyst
39-4021.00,Funeral Attendants,"Perform a variety of tasks during funeral, such as placing casket in parlor or chapel prior to service, arranging floral offerings or lights around casket, directing or escorting mourners, closing casket, and issuing and storing funeral equipment.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",2,08/2024,Analyst
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers","Perform various tasks to arrange and direct individual funeral services, such as coordinating transportation of body to mortuary, interviewing family or other authorized person to arrange details, selecting pallbearers, aiding with the selection of officials for religious rites, and providing transportation for mourners.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",3,08/2024,Analyst
39-5011.00,Barbers,"Provide barbering services, such as cutting, trimming, shampooing, and styling hair; trimming beards; or giving shaves.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",3,08/2018,Analyst
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists","Provide beauty services, such as cutting, coloring, and styling hair, and massaging and treating scalp. May shampoo hair, apply makeup, dress wigs, remove hair, and provide nail and skincare services.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",3,07/2016,Analyst
39-5091.00,"Makeup Artists, Theatrical and Performance","Apply makeup to performers to reflect period, setting, and situation of their role.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",3,08/2018,Analyst
39-5092.00,Manicurists and Pedicurists,Clean and shape customers' fingernails and toenails. May polish or decorate nails.,"Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",2,07/2015,Analyst
39-5093.00,Shampooers,Shampoo and rinse customers' hair.,"Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",2,06/2008,Analyst
39-5094.00,Skincare Specialists,Provide skincare treatments to face and body to enhance an individual's appearance. Includes electrologists and laser hair removal specialists.,"Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",3,07/2012,Analyst
39-6011.00,Baggage Porters and Bellhops,Handle baggage for travelers at transportation terminals or for guests at hotels or similar establishments.,"Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",2,08/2018,Analyst
39-6012.00,Concierges,"Assist patrons at hotel, apartment, or office building with personal services. May take messages; arrange or give advice on transportation, business services, or entertainment; or monitor guest requests for housekeeping and maintenance.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",3,08/2020,Analyst
39-7011.00,Tour Guides and Escorts,"Escort individuals or groups on sightseeing tours or through places of interest, such as industrial establishments, public buildings, and art galleries.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",3,08/2020,Analyst
